Date,ARIMA,ExpSmooth,Prophet,LSTM
2020-05-31,119.64078070342735,115.35745304397228,31.826249496504715,140.94753
2020-06-01,125.0839094511499,140.9281495493027,30.18811021649904,149.33781
2020-06-02,127.15370387977809,124.67928261184873,42.67855428469994,155.27675
2020-06-03,127.94076021728853,107.20679530353962,29.83726664365203,159.65247
2020-06-04,128.24004485630743,122.80060125882997,66.68899479117158,163.01242
2020-06-05,128.3538502993028,106.82637774083456,54.70134821970437,165.80208
2020-06-06,128.39712575405994,120.78214971746323,31.264816975405964,168.35487
2020-06-07,128.41358160129488,115.35745304397228,40.90144176252193,170.89964
2020-06-08,128.41983907241192,140.9281495493027,42.1036079230452,173.57735
2020-06-09,128.42221852721735,124.67928261184873,57.054495982348115,176.46136
2020-06-10,128.42312333445742,107.20679530353962,46.24157474280241,179.57686
2020-06-11,128.4234673948446,122.80060125882997,84.64781559077718,182.9167
2020-06-12,128.42359822663374,106.82637774083456,73.71078044480626,186.45592
2020-06-13,128.4236479764965,120.78214971746323,50.80362178007644,190.1625
2020-06-14,128.4236668942906,115.35745304397228,60.44439387805166,194.00381
2020-06-15,128.42367408793723,140.9281495493027,61.135123554141785,197.95044
2020-06-16,128.42367682338048,124.67928261184873,75.08215905243341,201.97835
2020-06-17,128.42367786355524,107.20679530353962,62.809179756536054,206.06961
2020-06-18,128.42367825909025,122.80060125882997,99.3475530090894,210.21156
2020-06-19,128.4236784094957,106.82637774083456,86.19420903209945,214.39624
2020-06-20,128.42367846668859,120.78214971746323,60.79110153306759,218.61928
2020-06-21,128.42367848843665,115.35745304397228,67.73269221496312,222.87839
2020-06-22,128.42367849670654,140.9281495493027,65.60295546608438,227.17294
2020-06-23,128.42367849985123,124.67928261184873,76.69347763542952,231.50294
2020-06-24,128.42367850104702,107.20679530353962,61.61409546600275,235.86888
2020-06-25,128.42367850150174,122.80060125882997,95.48082639226969,240.27122
2020-06-26,128.42367850167466,106.82637774083456,79.87133073989514,244.70988
2020-06-27,128.4236785017404,120.78214971746323,52.30204310494093,249.18419
2020-06-28,128.4236785017654,115.35745304397228,57.43347945584378,253.69347
2020-06-29,128.42367850177493,140.9281495493027,53.90528116099698,258.23663
